SL NO,OFFICES,SANCTIONS,DISBURSEMENT,RECOVERY,,,
,,Rs in crore,Rs in crore,Rs in crore,,,
1,CENTRAL BRANCH OFFICE,89.25,61.78,96.85,,,
2,BENGALURU RURAL ,102.66,74.95,91.41,,,
3,RAMANAGAR,21.07,17.73,18.22,,,
4,TUMAKURU,63.07,44.47,56.60,,,
5,KOLAR,43.79,34.04,39.84,,,
6,CHICKBALLAPUR,24.21,10.33,17.90,,,
7,MYSURU,72.72,49.31,66.87,,,
8,MANDYA,11.98,10.97,18.63,,,
9,MADIKERI,10.90,8.09,22.13,,,
10,CHAMARAJANAGAR,12.07,16.27,12.37,,,
11,MANGALURU,25.22,12.02,19.72,,,
12,UDIPI,15.77,9.23,9.81,,,
13,HASSAN,20.07,13.15,20.02,,,
14,CHIKMAGALUR,22.23,15.86,14.07,,,
15,HUBBALLI,30.77,19.14,43.66,,,
16,HAVERI,16.96,14.18,12.08,,,
17,GADAG,14.50,7.79,12.05,,,
18,KARWAR,14.96,2.91,9.36,,,
19,CHITRADURGA,19.40,15.82,22.49,,,
20,SHIVAMOGGA,10.29,6.30,12.22,,,
21,BELAGAVI,22.61,14.31,24.80,,,
22,BAGALKOT,12.89,10.16,20.04,,,
24,KALABURAGI,14.00,17.78,26.22,,,
25,YADGIR,6.05,4.02,10.15,,,
26,RAICHUR,20.39,20.92,17.84,,,
27,BIDAR,28.78,27.43,26.16,,,
